depth,decToOutputEdges,inputToDecEdges,outputToDecEdges,numberOfNodes,numberOfEdges,numberOfInputNodes,numberOfOutputNodes,numberOfDecisionNodes,booleanExprTime,graphBuildingTime,dnf_time
3,2,2,2,7,6,4,1,2,0,0,0
3,2,2,3,7,6,4,1,2,0,0,0
3,2,2,4,7,6,4,1,2,0,0,0
3,2,3,2,9,8,6,1,2,0,0,1
3,2,3,3,9,8,6,1,2,0,0,1
3,2,3,4,9,8,6,1,2,0,0,0
3,3,2,2,10,9,6,1,3,0,0,3
3,3,2,3,10,9,6,1,3,0,0,2
3,3,2,4,10,9,6,1,3,0,0,2
3,2,4,2,11,10,8,1,2,0,0,5
3,2,4,3,11,10,8,1,2,0,0,7
3,2,4,4,11,10,8,1,2,0,0,6
3,3,3,2,13,12,9,1,3,0,0,18
3,3,3,3,13,12,9,1,3,0,0,8
3,3,3,4,13,12,9,1,3,0,0,5
3,4,2,2,13,12,8,1,4,0,0,5
3,4,2,3,13,12,8,1,4,0,0,3
3,4,2,4,13,12,8,1,4,0,0,3
3,3,4,2,16,15,12,1,3,0,0,25
3,3,4,3,16,15,12,1,3,0,0,16
3,3,4,4,16,15,12,1,3,0,0,11
3,4,3,2,17,16,12,1,4,0,0,23
3,4,3,3,17,16,12,1,4,0,0,23
3,4,3,4,17,16,12,1,4,0,0,24
3,4,4,2,21,20,16,1,4,0,0,427
3,4,4,3,21,20,16,1,4,0,0,365
3,4,4,4,21,20,16,1,4,0,0,364
4,2,2,2
5,2,2,2
4,2,3,2
5,2,3,2
4,2,2,3
5,2,2,3
4,2,4,2
5,2,4,2
4,2,2,4
4,2,3,3
5,2,2,4
5,2,3,3
4,3,2,2
5,3,2,2
4,2,4,3
5,2,4,3
4,2,3,4
5,2,3,4
4,3,3,2
5,3,3,2
4,2,4,4
5,2,4,4
4,3,2,3
5,3,2,3
4,3,4,2
5,3,4,2
4,4,2,2
5,4,2,2
4,3,2,4
4,3,3,3
5,3,2,4
5,3,3,3
6,2,2,2
4,4,3,2
5,4,3,2
4,3,4,3
5,3,4,3
4,3,3,4
4,4,2,3
5,3,3,4
5,4,2,3
4,4,4,2
5,4,4,2
6,2,3,2
4,3,4,4
5,3,4,4
4,4,2,4
4,4,3,3
5,4,2,4
5,4,3,3
6,2,4,2
4,4,4,3
5,4,4,3
4,4,3,4
5,4,3,4
6,2,2,3
4,4,4,4
5,4,4,4
6,2,3,3
6,3,2,2
6,2,4,3
